snippets_rows
id,title,description,language,codeSnippet,userId
17,WP Bakery Textfield,Single text field for WP Bakery,WP Bakery,"[
    'type' => 'textfield',
    'class' => 'title-class',
    'heading' => ‘Single Text',
    'param_name' => 'single_text',
    'save_always' => true,
    'description' => ‘’,
    'weight' => 0,
    'group' => 'Content'
],",user_2mlEznod51hhL2F6Y9kHYlSzv8I
18,WP Bakery Textarea,Single text area for WP Bakery,WP Bakery,"[
    'type' => 'textarea',
    'class' => 'title-class',
    'heading' => 'text',
    'param_name' => 'text_area',
    'save_always' => true,
    'description' => ‘’,
    'weight' => 0,
    'group' => 'Content'
],",user_2mlEznod51hhL2F6Y9kHYlSzv8I
22,WP Bakery Block Skeleton,Basic skeleton for a block in WP Bakery,WP Bakery,"<?php
class vcBlockName extends WPBakeryShortCode

{
	private $shortCodeName = 'vc_block_name';

	function __construct()
	{
		add_action('vc_before_init', [$this, $this->shortCodeName.'_mapping']);
		add_shortcode($this->shortCodeName, [$this, $this->shortCodeName.'_html']);
	}

	public function vc_block_name_mapping()
	{
		if (!defined('WPB_VC_VERSION')) {
			return;
		}

		vc_map(
			[
				'name' => __('Block Name', 'text-domain'),
				'base' => $this->shortCodeName,
				'description' => __('', 'text-domain'),
				'category' => __('Content', 'text-domain'),
				'icon' => '',
				'params' => [

					// Block elements go here
				],

			]
		);
	}

	public function vc_block_name_html($atts, $content)
	{

		extract(
			shortcode_atts(
				[

					// Register blocks / shortcodes  elements here
					// 'title' => '',
					// 'link' => '',
				],
				$atts
			)
		);

		$content = wpb_js_remove_wpautop($content, true); // Text area HTML

		$image = wp_get_attachment_image_src($image, 'medium')[0];
		$link = vc_build_link($link); // Builds button
		$shortcode = rawurldecode(base64_decode($shortcode)); // Raw HTML

		ob_start();

		?>
		
		<?php if ($title) : ?>
			<h1><?php echo $title; ?></h1>
		<?php endif ?>
		
		<?php if ($content) : ?>
			<p><?php echo $content; ?></p>
		<?php endif ?>
		
		<?php if ($button['url']): ?>
			<a href=""<?php echo $button['url']; ?>""><?php echo $button['title']; ?></a>
		<?php endif; ?>
		
		<?php if ($image) : ?>
			<img src=""<?php echo wp_get_attachment_image_src($image, 'medium')[0]; ?>"" 
				 class=""img-fluid"" 
				 alt="""" 
				 loading=""lazy"">
		<?php endif ?>
		
		<?php echo do_shortcode($contact_form_shortcode); ?>

		<?php

		return ob_get_clean();
	}
}

new vcBlockName ;",user_2mlEznod51hhL2F6Y9kHYlSzv8I
23,WP Bakery WYSIWYG ,WYSIWYG editor for WP Bakery (only one per block),WP Bakery,"[
    'type' => 'textarea_html',
    'class' => 'title-class',
    'heading' => 'Content',
    'param_name' => 'content',
    'save_always' => true,
    'description' => ‘’,
    'weight' => 0,
    'group' => 'Content'
],",user_2mlEznod51hhL2F6Y9kHYlSzv8I
24,WP Bakery Raw HTML,Raw HTML field for WP Bakery,WP Bakery,"[
    'type' => 'textarea_raw_html',
    'class' => 'title-class',
    'heading' => 'Shortcode'
    'param_name' => 'shortcode',
    'value' => 'text-domain',
    'save_always' => true,
    'description' => ‘’,
    'weight' => 0,
    'group' => 'Content'
],",user_2mlEznod51hhL2F6Y9kHYlSzv8I
25,WP Bakery Button,Button for WP Bakery,WP Bakery,"[
    ""type"" => ""vc_link"",
    ""class"" => """",
    ""heading"" => ""Link"",
    ""param_name"" => ""link"",
    ""value"" => '',
    'save_always' => true,
    'description' => '',
    'weight' => 0,
    'group' => 'Content'
],",user_2mlEznod51hhL2F6Y9kHYlSzv8I
26,WP Bakery Single Image,Single image for WP Bakery,WP Bakery,"[
    ""type"" => ""attach_image"",
    ""class"" => """",
    ""heading"" => ""Image"",
    ""param_name"" => ""image"",
    'save_always' => true,
    'description' => ‘’,
    'weight' => 0,
    'group' => 'Image'
],",user_2mlEznod51hhL2F6Y9kHYlSzv8I
27,WP Bakery Multiple Images,Attach multiple images for WP Bakery,WP Bakery,"[
    ""type"" => ""attach_images"",
    ""class"" => """",
    ""heading"" => ""Multi Image"",
    ""param_name"" => ""multi_image"",
    'save_always' => true,
    'description' => ‘’,
    'weight' => 0,
    'group' => 'Image'
],",user_2mlEznod51hhL2F6Y9kHYlSzv8I
28,WP Bakery Checkbox,Checkbox for WP Bakery,WP Bakery,"[
    ""type"" => ""checkbox"",
    ""class"" => """",
    ""heading"" => ""Checkbox"",
    ""param_name"" => ""checkbox"",
    ""value"" => ""Tick Me"",
    'save_always' => true,
    'description' => ‘’,
    'weight' => 0,
    'group' => 'Content'
],",user_2mlEznod51hhL2F6Y9kHYlSzv8I
29,WP Bakery Dropdown,Dropdown select field for WP Bakery,WP Bakery,"[
    'type' => 'dropdown',
    'heading' => 'Dropdown',
    'param_name' => 'dropdown',
    'value' => [
    'Option 1 Label' => 'option1value',
    'Option 2 Label' => 'option2value',
    'Option 3 Label' => 'option3value',
    ],
    'save_always' => true,
    'description' => ‘’,
    'weight' => 0,
    'group' => 'Content'
],",user_2mlEznod51hhL2F6Y9kHYlSzv8I
